areaSort-int,deathDrop-int[],deathEXPDrop-int,deathTaxation-int[],desc-string,id-int,lockBackpack-bool,name-string,type-int
0,"0,0,0",2,"0,0,0",No Death Penalty,1,0,町,1
0,"0,0,0",2,"0,0,0",No Death Penalty,2,0,周辺の町,1
0,"30,20,10",3,"30,10,5",Slight Death Penalty(Percentage of backpack items),3,0,雪山,2
0,"30,20,10",3,"30,10,5",Slight Death Penalty(Percentage of backpack items),4,0,PvEP戦闘エリア,2
0,"0,0,0",2,"0,0,0",No Death Penalty,5,0,ホーム,1
0,"0,0,0",2,"0,0,0",No Death Penalty,6,0,ビーチ,1
0,"0,0,0",2,"0,0,0",No Death Penalty,7,0,赤い森,1
0,"30,20,10",3,"30,10,5",Slight Death Penalty(Percentage of backpack items),8,0,黒い森,2
0,"0,0,0",2,"0,0,0",No Death Penalty,9,0,嵐の砂漠,1
0,"0,0,0",2,"0,0,0",No Death Penalty,10,0,キャニオン,1
0,"30,20,10",3,"30,10,5",Slight Death Penalty(Percentage of backpack items),11,0,ヒーローフィッシュ像,2
0,"30,20,15",5,"30,10,5",Moderate Death Penalty(Percentage of backpack items),12,1,墓地,3
0,"30,20,10",3,"30,10,5",Slight Death Penalty(Percentage of backpack items),13,0,魂の休息地,2
0,"30,20,10",3,"30,10,5",Slight Death Penalty(Percentage of backpack items),14,0,天空の湖山,2
0,"0,0,0",2,"0,0,0",No Death Penalty,15,0,中央祭壇,1
0,"30,20,10",3,"30,10,5",Slight Death Penalty(Percentage of backpack items),16,0,周辺祭壇,2
0,"30,20,10",3,"30,10,5",Slight Death Penalty(Percentage of backpack items),17,0,氷の平原,2
0,"30,20,15",5,"30,10,5",Moderate Death Penalty(Percentage of backpack items),18,1,氷の平原の奥深く,3
0,"0,0,0",2,"0,0,0",No Death Penalty,19,0,荒野,1
1,"30,20,25",7,"30,10,5",Heavy Death Penalty(Percentage of backpack items),20,1,初心者アリーナ1/3,3
2,"30,20,25",7,"30,10,5",Heavy Death Penalty(Percentage of backpack items),21,1,初心者アリーナ2/3,3
3,"30,20,25",7,"30,10,5",Heavy Death Penalty(Percentage of backpack items),22,1,初心者アリーナ3/3,3
1,"30,20,25",7,"30,10,5",Heavy Death Penalty(Percentage of backpack items),23,1,中級アリーナ1/3,3
2,"30,20,25",7,"30,10,5",Heavy Death Penalty(Percentage of backpack items),24,1,中級アリーナ2/3,3
3,"30,20,25",7,"30,10,5",Heavy Death Penalty(Percentage of backpack items),25,1,中級アリーナ3/3,3
1,"30,20,25",7,"30,10,5",Heavy Death Penalty(Percentage of backpack items),26,1,上級アリーナ 1/3,3
2,"30,20,25",7,"30,10,5",Heavy Death Penalty(Percentage of backpack items),27,1,上級アリーナ 2/3,3
3,"30,20,25",7,"30,10,5",Heavy Death Penalty(Percentage of backpack items),28,1,上級アリーナ 3/3,3
0,"0,0,0",2,"0,0,0",No Death Penalty,29,0,マッチメイキングキャンプ,1
0,"0,0,0",2,"0,0,0",No Death Penalty,30,0,リスポーンの祭壇,1
0,"30,20,10",3,"30,10,5",Slight Death Penalty(Percentage of backpack items),31,0,チャレンジ,2
0,"30,20,10",3,"30,10,5",Slight Death Penalty(Percentage of backpack items),32,0,古代の領域 - 火山,2
0,"30,20,10",3,"30,10,5",Slight Death Penalty(Percentage of backpack items),33,0,古代の領域 - 空洞,2
0,"30,20,10",3,"30,10,5",Slight Death Penalty(Percentage of backpack items),34,0,古代の領域 - 遺跡,2
0,"30,20,10",3,"30,10,5",Slight Death Penalty(Percentage of backpack items),35,0,野生,2
0,"0,0,0",2,"0,0,0",No Death Penalty,36,0,橋,1
0,"30,20,15",5,"30,10,5",Moderate Death Penalty(Percentage of backpack items),37,1,コロシアム,3
0,"0,0,0",2,"0,0,0",No Death Penalty,38,0,デイリーチャレンジ,1
0,"0,0,0",2,"0,0,0",No Death Penalty,39,1,訓練場 1/3,3
0,"0,0,0",2,"0,0,0",No Death Penalty,40,1,訓練場 2/3,3
0,"0,0,0",2,"0,0,0",No Death Penalty,41,1,訓練場 3/3,3
