IsBeHitBreakable-bool,IsIndependentLogic-bool,accuBreakable-bool,accuTime-int,attackCanMove-bool,effectEnemy-int[],effectForward-int[],forwardReleaseTime-int,id-int,isAutoUse-bool,isCheckHit-bool,isHoldSkill-bool,isReleastActLoop-bool,isRemote-bool,playProgress-bool,rangeTips-bool,releaseAct-string,releaseEff-string,releaseSound-string[],releaseSpd-int,releaseTime-int,skillCD-int,skillDesc-string,skillDistance-int,skillFlag-int[],skillName-string,skillRange-int[],skillShake-string[],targetFlag-int[],targetLock-bool,targetType-int[],homeAction-int[],homeAttRate-int,effectSelf-int[],skillIcon-string,hitEff-string,animRotate-int,skillAlertEffect-string,skillFlyerId-int,skillFlyerNum-int,accuEff-int,effectInit-int[],composeSkill-int[],costPropType-int[],maxAccuTime-int,accuTab-string
0,0,0,0,0,"1,239",214,150,14,0,1,0,0,0,0,1,skill_attack1,Skill_punch_attack1,Punch,14,550,-1,非武装攻撃 - 移動1,350,2,非武装攻撃,"4,300,150,16000",CameraShakeGrade_1,1,0,1,,,,,,,,,,,,,,,
0,0,0,0,0,"15,239",214,150,15,0,1,0,0,0,0,1,skill_attack2,Skill_punch_attack2,Punch,14,550,-1,非武装攻撃 - 移動2,350,2,非武装攻撃,"4,300,150,16000",CameraShakeGrade_1,1,0,1,,,,,,,,,,,,,,,
0,0,0,0,0,"21,227,386",214,150,16,0,1,0,0,0,0,1,skill_attack3,Skill_punch_attack3,Punch2,14,550,-1,非武装攻撃 - 移動3,350,2,非武装攻撃,"4,300,150,16000",CameraShakeGrade_2,1,0,1,,,,,,,,,,,,,,,
0,0,0,0,0,"239,385",31,150,17,0,1,0,0,0,0,1,skill_sword_attack1,skill_sword_attack1,knife01,14,620,-1,剣の攻撃 - 動き1,400,2,剣の攻撃,"4,300,300,27000",CameraShakeGrade_1,1,0,1,5,333,,,,,,,,,,,,,
0,0,0,0,0,"15,239",31,150,18,0,1,0,0,0,0,1,skill_sword_attack2,skill_sword_attack2,knife02,14,620,-1,剣の攻撃 - 移動2,400,2,剣の攻撃,"4,300,300,27000",CameraShakeGrade_1,1,0,1,5,333,,,,,,,,,,,,,
0,0,0,0,0,"21,227,386",31,150,19,0,1,0,0,0,0,1,skill_sword_attack3,skill_sword_attack3,knife03,14,670,-1,剣の攻撃 - 移動3,400,2,剣の攻撃,"4,300,300,27000",CameraShakeGrade_2,1,0,1,5,333,,,,,,,,,,,,,
0,0,0,0,0,,18,0,20,0,1,0,0,0,0,0,jump_roll,,playerroll,,400,2000,迅速に転がって攻撃をかわすか、素早く移動してください。,,2,プレイヤーロール,,,1,0,1,,,19,skill-icon-20,,,,,,,,,,,
0,0,0,0,0,15,,300,21,0,1,0,0,0,0,0,normal_chudi,,ranged_RPG_attack2_audio,37,500,-1,対象の敵に対して、単一のホーイングアクションを使用して通常攻撃を行います。,,2,モノリシックホーイング,,,1,0,1,1,1000,,,skill_rock_hurt,,,,,,,,,,
0,0,0,0,0,419,,0,22,0,1,1,1,0,0,0,ranged_RPG_attack5,Skill_watering,ranged_RPG_attack5_audio,,0,-1,普通の量の水で個々の植物に水をやる。,,2,個別の水やり,,,1,0,1,3,1000,,,,,,,,,,,,,
0,0,0,0,0,,,280,23,0,1,0,0,0,0,0,A-bozhong-NEW,Skill_seeding,A-bozhong-NEW_audio,,400,-1,正確かつ効率的に単一の種をまく。,,2,単一シード,,,1,0,1,2,,,,skill_tree_hurt,,,,,,,,,,
0,0,0,0,0,,,280,24,0,1,0,0,0,0,0,ranged_RPG_reload,Skill_fertilize,playerroll,,400,-1,植物の成長を促進するために、単一の肥料を一回分適用してください。,,2,モノマー施肥,,,1,0,1,4,,,,skill_tree_hurt,,,,,,,,,,
0,0,0,0,0,"15,17,416",,350,25,0,1,0,0,0,0,0,normal_gaozi,Skill_mine,ranged_RPG_attack4_audio,30,500,-1,敵に対して通常攻撃で単一の鎌を使って掘ります。,,2,一本のつるはしで掘る,"4,300,150,27000",CameraShakeGrade_1,1,0,1,"7,8",1000,,,skill_rock_hurt,,,,,,,,,,
0,0,0,0,0,"15,17,417",,350,26,0,1,0,0,0,0,0,normal_futou,Skill_chop,ranged_RPG_attack3_audio,23,500,-1,通常攻撃として、一撃で斧で切りつける。,,2,シングルアックス,"4,300,150,27000",CameraShakeGrade_1,1,0,1,6,1000,,,skill_tree_hurt,,,,,,,,,,
0,0,1,0,0,"227,1","188,226",730,31,1,1,0,0,0,0,1,attack,,Dog_Attack,,1430,0,激しい犬の近接戦闘に参加し、自分の領土を守りましょう。,300,2,缶詰の犬の近接攻撃,"4,300,200,12000",,1,0,1,,,,,,,,,,,,,,,
0,0,1,0,0,15,"216,189",700,32,1,1,0,0,0,0,1,attack,,SKill_Pumpkin_attkar_rush,,1333,0,近接戦闘でカボチャの悪魔と戦闘する。,400,2,ミスター・パンプキン・メレー,"4,300,200,12000",,1,0,1,,,,,,,,,,,,,,,
