ability-int[][],autoHarvest-bool,breedingDifficulty-int,eggItemId-int,extendSkill-int[],harvestAction-int,harvestDropId-int,harvestTime-int,hungerSpeed-int,id-int,incubationDuration-int,incubationMat-int[][],initialAttribute-int[][],maxHunger-int,potWashingItem-int[],requiredHappiness-int,requiredProficiency-int,toEggProbability-int,upgradeEXP-int[]
"1,1000,0",0,10,665,14,11,36,100,1,6,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,100,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;5,1000,0",0,10,666,14,12,37,100,1,7,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,100,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,667,14,12,38,100,1,8,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,100,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,668,14,11,40,100,1,9,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,200,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,669,14,11,41,100,1,10,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,200,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,670,14,12,39,100,1,11,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,200,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,671,14,11,42,100,1,12,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,300,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,672,14,11,43,100,1,13,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,300,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,673,14,12,44,100,1,14,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,300,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",1,10,674,14,0,18,100,1,4,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,300,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,675,14,0,0,0,0,18,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",0,"66,1",10,200,750,"100,200,300,400,500,600,700,800"
