desc-string,displayName-string,icon-string,id-int,moveSpeed-int,name-string,roleAssetID-int,taskBegin-int[],taskEnd-int[]
Lumiterra Boar,野豬,icon_monster_15,1,200,Boar,3,,
,胖胖,icon_monster_15,2,200,Pang,15,,
,混混,icon_monster_15,3,200,Hun,163637,,
,胖胖,icon_monster_15,4,200,Pang,15,,
,胖胖,icon_monster_15,5,200,Pang,163637,,
,胖胖,icon_monster_15,6,200,Pang,15,,
,胖胖,icon_monster_15,7,200,Pang,163637,,
,胖胖,icon_monster_15,8,200,Pang,15,,
,混混,icon_monster_15,9,200,Hun,163637,,
,混混,icon_monster_15,10,200,Hun,15,,
,混混,icon_monster_15,11,200,Hun,163637,,
,混混,icon_monster_15,12,200,Hun,15,,
,混混,icon_monster_15,13,200,Hun,163637,,
,流浪漢,,14,200,Tramp,32,"21,22,23","21,22"
,鐵匠,,15,200,Blacksmith,33,"24,25,26","23,24,25,26"
,鎮長,,16,200,Mayor,34,27,27
,藥劑師,,17,200,Pharmacist,35,"28,29,30","28,29,30"
NPC Quincy,昆西,,19,200,Quincy,38,,
NPC Terrance,特蘭斯,,20,200,Terrance,39,,
Npc Silas,西拉斯,,21,200,Silas,40,,
NPC Garth,蓋爾斯,,22,200,Garth,41,,
NPC Nash,納什,,23,200,Nash,42,,
NPC Gunner,剛納爾,,24,200,Gunner,43,,
NPC Maximus,馬克西姆斯,,25,200,Maximus,44,,
NPC Nolan,諾蘭,,26,200,Nolan,46,,
NPC Lucas,盧卡斯,,27,200,Lucas,47,,
NPC Liam,蓮姆,,28,200,Liam,48,,
NPC Drakonar,多可納爾,,29,200,Drakonar,49,,
NPC Torvald,托瓦德,,30,200,Torvald,50,,
NPC Cuckoo Boss,,,31,200,,51,,
NPC Victor,維克托,,32,200,Victor,52,,
NPC Magnus,馬格努斯,,33,200,Magnus,53,,
NPC Charlie,查理,,34,200,Charlie,54,,
NPC Lily,莉莉,,35,200,Lily,55,,
NPC Enigmatic Light Spirit, [34]光之精靈,,36,200,LightSpirit,137,,
NPC Pumpkinwing Jack , [35]南瓜翅膀傑克,,37,200,Pumpkinwing Jack,138,,
NPC Whisperwing Polly, [36]低語之翼波莉,,38,200,Whisperwing Polly,139,,
NPC Egbert the Unwise, [37]愚蠢的埃格伯特,,39,200,Egbert the Unwise,140,,
NPC Waxy, [38]蠟質,,40,200,Waxy,141,,
NPC Squawky, [39]喋喋不休,,41,200,Squawky,142,,
NPC Ollie the Owlman, [40]貓頭鷹人奧利,,42,200,Ollie the Owlman,143,,
NPC Jim, [41]吉姆,,43,200,Jim,144,,
NPC Kongfu kong, [42]功夫猩猩,,44,200,Kongfu kong,145,,
NPC Haski, [43]哈斯基,,45,200,Haski,149,,
NPC Smith,,,46,200,Smith Burton,150,,
