designateOptions-string,details-string,difficulty-int,expReward-int[][],id-int,isSelfEnd-bool,itemReward-int,name-string,level-int[][],preTaskReq-int[],chanceOptions-string,unlockDungeon-int[]
"{""options"":[{""optionType"":2,""value"":""134,1"",""guiderPoint"":0}]}","Vì tình yêu và hòa bình, hãy đi đến nơi được chỉ định.",0,"1,147",1,0,11,10001,,,,
"{""options"":[{""optionType"":1,""value"":""134,2"",""guiderPoint"":0},{""optionType"":2,""value"":""134,1"",""guiderPoint"":0}]}","Vì tình yêu và hòa bình, hãy đi đến nơi được chỉ định.",0,"1,147",2,0,11,10002,"1,1;2,1",1,,
"{""options"":[{""optionType"":3,""value"":""30,1"",""guiderPoint"":0}]}","Vì tình yêu và hòa bình, hãy đi đến nơi được chỉ định.",0,"1,147",3,0,11,10003,"2,2",2,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Vì tình yêu và hòa bình, hãy đi đến nơi được chỉ định.",0,"1,147",4,0,11,10004,"2,3",3,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Vì tình yêu và hòa bình, hãy đi đến nơi được chỉ định.",0,"1,147",5,0,11,10005,"2,4",4,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Vì tình yêu và hòa bình, hãy đi đến nơi được chỉ định.",0,"1,147",6,0,11,10006,,5,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Vì tình yêu và hòa bình, hãy đi đến nơi được chỉ định.",0,"1,147",7,1,11,10007,,5,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Vì tình yêu và hòa bình, hãy đi đến nơi được chỉ định.",0,"1,147",8,1,11,10008,,"6,7",,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Vì tình yêu và hòa bình, hãy đi đến nơi được chỉ định.",0,"1,147",9,1,11,Du lịch,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Vì tình yêu và hòa bình, hãy đi đến nơi được chỉ định.",0,"1,147",10,1,11,Du lịch,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Vì tình yêu và hòa bình, hãy đi đến nơi được chỉ định.",0,"1,147",11,1,11,Du lịch,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Vì tình yêu và hòa bình, hãy đi đến nơi được chỉ định.",0,"1,147",12,1,11,Du lịch,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Vì tình yêu và hòa bình, hãy đi đến nơi được chỉ định.",0,"1,147",13,1,11,Du lịch,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Vì tình yêu và hòa bình, hãy đi đến nơi được chỉ định.",0,"1,147",14,1,11,Du lịch,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Vì tình yêu và hòa bình, hãy đi đến nơi được chỉ định.",0,"1,147",15,1,11,Du lịch,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Vì tình yêu và hòa bình, hãy đi đến nơi được chỉ định.",0,"1,147",16,1,11,Du lịch,,,,
,"Vì tình yêu và hòa bình, hãy cho tôi những thứ này.",0,"3,84",17,1,24,Sưu tầm,,,"{""options"":[{""optionType"":1,""value"":""30,1,100""},{""optionType"":1,""value"":""70,10,100;33,2,300;30,1,100""}]}",
,"Vì tình yêu và hòa bình, hãy cho tôi những thứ này.",0,"3,84",18,1,24,Sưu tầm,,,"{""options"":[{""optionType"":1,""value"":""30,1,100;58,3,200""},{""optionType"":1,""value"":""30,1,100""}]}",
,"Vì tình yêu và hòa bình, hãy cho tôi những thứ này.",0,"3,84",19,1,24,Sưu tầm,,,"{""options"":[{""optionType"":1,""value"":""30,1,100;58,3,200""},{""optionType"":1,""value"":""30,1,100""}]}",
,"Vì tình yêu và hòa bình, hãy cho tôi những thứ này.",0,"3,84",20,1,24,Sưu tầm,,,"{""options"":[{""optionType"":1,""value"":""30,1,100;58,3,200""},{""optionType"":1,""value"":""30,1,100""}]}",
"{""options"":[{""optionType"":4,""value"":""6,1"",""guiderPoint"":2101}]}","Khi máu của quái vật còn dưới một nửa, nó sẽ vào trạng thái tức giận được bao quanh bởi ma thuật. Lúc này, quái vật sẽ nhận được một số buff mạnh mẽ. Nhưng nếu bạn có thể đưa nó vào trạng thái yếu với khói đen, bạn có thể đánh bại nó dễ dàng hơn.Hãy giúp Gunner tiêu diệt một con Metal mutt.",0,"2,160",21,0,12,Khởi đầu mới,,,,
"{""options"":[{""optionType"":4,""value"":""6,5"",""guiderPoint"":2101},{""optionType"":13,""value"":""657,80,512,10"",""guiderPoint"":30101}]}",Mở túi đồ của bạn và trang bị thanh kiếm rồi tiêu diệt 5 con Metal mutt.Vào thị trấn và tìm Nash.,0,"2,117",22,0,11,Thông minh,,21,,
"{""options"":[{""optionType"":15,""value"":""1,1"",""guiderPoint"":0},{""optionType"":15,""value"":""11,1"",""guiderPoint"":0}]}",- Nhấn [Esc] để mở giao diện cây tài năng của bạn- Chọn nâng cấp nhánh chính- Chọn nâng cấp kỹ năng War Stomp- Đặt kỹ năng vào ô nhanh,0,"2,117",23,0,0,Giúp đỡ,,22,,
"{""options"":[{""optionType"":2,""value"":""146,5"",""guiderPoint"":3601},{""optionType"":2,""value"":""147,5"",""guiderPoint"":3601},{""optionType"":2,""value"":""148,5"",""guiderPoint"":3601}]}","Sử dụng cuốc để làm rãnh đất trong cánh đồng, sau đó sử dụng hạt giống để gieo trên đất đã được làm rãnh.Gieo 5 hạt mầm tre, 5 hạt mầm Trifolium và 5 hạt mầm cà rốt vào cánh đồng.",0,"1,117",24,0,31,Cày cấy và gieo hạt,,45,,
"{""options"":[{""optionType"":1,""value"":""70,5"",""guiderPoint"":3601},{""optionType"":1,""value"":""71,5"",""guiderPoint"":3601},{""optionType"":1,""value"":""72,5"",""guiderPoint"":3601}]}","Sau khi gieo hạt, bạn cần tưới nước kiên nhẫn ba hoặc bốn lần trước khi chúng chín. Khi chúng đã sẵn sàng, bạn có thể tiếp cận để thu hoạch chúng. Sau đó, hãy tìm Silas. Anh ấy cần chúng.",0,"1,117",25,0,13,Tưới nước và thu hoạch kiên nhẫn,,24,,
"{""options"":[{""optionType"":15,""value"":""245,1"",""guiderPoint"":0},{""optionType"":3,""value"":""207,1"",""guiderPoint"":0}]}","Mở mục Thu Thập và chế tạo một Gather Essence. Trước đó, bạn cần thu thập đủ nguyên liệu.",0,"3,117",26,0,32,Bản chất của một nghề nghiệp,,27,,
"{""options"":[{""optionType"":3,""value"":""58,5"",""guiderPoint"":3401},{""optionType"":3,""value"":""62,5"",""guiderPoint"":3501}]}",Thu thập 5 gỗ thông thường.Thu thập 5 viên đá.,0,"3,117",27,0,43,Thu thập một số đồ tốt,,25,,
"{""options"":[{""optionType"":15,""value"":""33,1"",""guiderPoint"":0},{""optionType"":3,""value"":""88,1"",""guiderPoint"":0}]}",Thu thập 5 gỗ thông thường và 5 sợi sợi để chế tạo một cái Đuốc Sắt.,0,"3,117",28,0,44,Chế tạo cuốc sắt,,26,,
"{""options"":[{""optionType"":3,""value"":""59,1"",""guiderPoint"":20103},{""optionType"":3,""value"":""63,1"",""guiderPoint"":20203},{""optionType"":3,""value"":""67,1"",""guiderPoint"":20201}]}","Bạn đã học cách nâng cấp cây tài năng và chế tạo trang bị, hãy thu thập một số nguyên liệu cao cấp hơn:Thu thập một mỏ Dark Iron.Thu thập một cây Desert Tree.Thu thập một nấm Ice Cap.",0,"3,117",29,0,42,Thách thức thu thập nâng cao,,28,,
"{""options"":[{""optionType"":4,""value"":""8,5"",""guiderPoint"":3501},{""optionType"":4,""value"":""7,5"",""guiderPoint"":3401}]}","Dựa trên thông tin mới nhất:Cactus Warriors - Có phòng thủ cao, sử dụng đòn tấn công mạnh có thể phá vỡ phòng thủ của nó.Pumpkin Fiends - Sở hữu kỹ năng từ xa, sử dụng Trampling có thể làm cho nó không thể sử dụng kỹ năng từ xa.",0,"2,117",30,0,40,Dạy cho họ một bài học,,26,,
"{""options"":[{""optionType"":15,""value"":""95,1"",""guiderPoint"":0},{""optionType"":3,""value"":""40,1"",""guiderPoint"":0}]}","Hãy thử chế tạo một thanh kiếm đá trong Combat Crafting, vũ khí mạnh mẽ có thể làm cho bạn thoải mái hơn trong trận chiến.Trước đó, bạn cần mở khóa công thức cho thanh kiếm đá trong cây tài năng.",0,"2,117",32,0,30,Chế tạo kiếm đá,,30,,
"{""options"":[{""optionType"":4,""value"":""10,1"",""guiderPoint"":20103},{""optionType"":4,""value"":""9,1"",""guiderPoint"":20203},{""optionType"":4,""value"":""11,1"",""guiderPoint"":20102}]}","Bạn đã học cách nâng cấp cây tài năng và chế tạo trang bị, hãy thử đánh bại những con quái vật mạnh hơn:Tiêu diệt một con Buzz Buddy.Tiêu diệt một con Mine Cat.Tiêu diệt một con Leafy Lurker.",0,"2,117",33,0,41,Thách thức chiến đấu nâng cao,,32,,
"{""options"":[{""optionType"":15,""value"":""13,1"",""guiderPoint"":0},{""optionType"":15,""value"":""254,1"",""guiderPoint"":0}]}",Mở cây tài năng của bạn và chuyển sang cây nông nghiệp. Nâng cấp nút kỹ năng Capture ở bên phải xa nhất.,0,"1,117",34,0,35,Thống trị việc bắt giữ,,26,,
"{""options"":[{""optionType"":3,""value"":""178,1"",""guiderPoint"":0},{""optionType"":3,""value"":""177,1"",""guiderPoint"":0}]}", Bắt Metal Mutt và Pumpkin Fiend bằng kỹ năng bắt.Trở về nhà và sử dụng cọ để vuốt ve thú cưng của bạn để thu được đủ đinh ốc và mầm bí ngô.,0,"1,117",162,0,34,"[64]Học cách nuôi dưỡng
",,34,,
"{""options"":[{""optionType"":15,""value"":""78,1"",""guiderPoint"":0},{""optionType"":3,""value"":""80,1"",""guiderPoint"":0}]}","Nếu bạn muốn cây trồng của mình phát triển nhanh hơn, bạn cần một cái cuốc cao cấp hơn. Hãy thử chế tạo một cái Cuốc Sắt.",0,"1,117",35,0,0,Chế tạo cuốc sắt,,162,,
"{""options"":[{""optionType"":2,""value"":""150,1"",""guiderPoint"":3601},{""optionType"":2,""value"":""149,1"",""guiderPoint"":3601},{""optionType"":2,""value"":""151,1"",""guiderPoint"":3601}]}","Bạn đã học cách nâng cấp cây tài năng và chế tạo trang bị, hãy gieo thêm những hạt giống cao cấp hơn:Gieo hạt bông.Gieo hạt Pitcher Plant.Gieo hạt Endurance Fruit.",0,"1,117",36,0,39,Thách thức nông nghiệp nâng cao,,35,,
"{""options"":[{""optionType"":3,""value"":""30,1"",""guiderPoint"":0}]}",Đi đến trao đổi và mua một cái gì đó.,0,"1,117;2,117;3,117",37,0,0,Giao dịch 1,,"33,29,36",,
,Quái vật đang hoành hành. Hãy đi và tiêu diệt chúng.,0,"2,84",38,1,0,Chiến đấu hàng ngày cấp độ 1,,,"{""options"":[{""optionType"":4,""value"":""6,4,100;8,4,100;7,4,100""}]}",
,Quái vật đang hoành hành. Hãy đi và tiêu diệt chúng.,0,"2,118",39,1,0,Chiến đấu hàng ngày cấp độ 2,,,"{""options"":[{""optionType"":4,""value"":""9,4,100;10,4,100;11,4,100""}]}",
,Quái vật đang hoành hành. Hãy đi và tiêu diệt chúng.,0,"2,168",40,1,0,Chiến đấu hàng ngày cấp độ 3,,,"{""options"":[{""optionType"":4,""value"":""12,4,100;13,4,100;14,4,100""}]}",
,Săn lùng chúng và mang lại một số món lợi.,0,"2,84",41,1,0,Chiến đấu hàng ngày cấp độ 1,,,"{""options"":[{""optionType"":4,""value"":""6,2,100;8,2,100;7,2,100""},{""optionType"":1,""value"":""30,2,200;31,2,200;32,2,200""}]}",
,Săn lùng chúng và mang lại một số món lợi.,0,"2,118",42,1,0,Chiến đấu hàng ngày cấp độ 2,,,"{""options"":[{""optionType"":4,""value"":""9,2,100;11,2,100;10,2,100""},{""optionType"":1,""value"":""33,2,200;34,2,200;35,2,200""}]}",
,Săn lùng chúng và mang lại một số món lợi.,0,"2,168",43,1,0,Chiến đấu hàng ngày cấp độ 3,,,"{""options"":[{""optionType"":4,""value"":""12,2,100;14,2,100;13,2,100""},{""optionType"":1,""value"":""36,2,200;37,2,200;38,2,200""}]}",
"{""options"":[{""optionType"":3,""value"":""30,1"",""guiderPoint"":0}]}",Đi đến trao đổi và mua một cái gì đó.,0,"1,117;2,117;3,117",44,0,0,Giao dịch 2,,37,,
