classifyLevel-int,desc-string,displayType-int,icon-string,id-int,level-int,matItemId-int[][],name-string,productId-int[][],productTypes-int[],proficiency-int,recipesSort-int,sourceText-int,timeCost-int,timesLimit-int,type-int,unlockCondition-int,unlockType-int,useDitamin-int,useToken-int
1,Fabricación Nv 1 Espada de Piedra,2,recipe-icon-44,44,1,"210,1;213,1", Receta de espada de piedra de nivel 1 ,"40,1,1,10000",1,0,99044,1,10,-,2,0,4,0,0
0,Fabricación Nv 2 Espada de Hierro,2,recipe-icon-45,45,2,"207,2;211,1;214,1", Receta de espada de hierro de nivel 2 ,"41,1,1,6000;41,2,1,4000",1,0,98045,1,10,-,2,0,4,0,0
0,Fabricación Nv 3 Espada de Cristal,2,recipe-icon-46,46,3,"208,2;212,1;215,1", Receta de espada de cristal de nivel 3 ,"42,1,1,4736;42,2,1,3157;42,3,1,2105",1,0,97046,1,10,-,2,0,4,0,0
0,Fabricación Nv 1 Azada de Hierro,2,recipe-icon-62,62,1,"207,2", Receta de azada de hierro de nivel 1 ,"80,1,1,10000",1,0,99062,1,10,-,1,0,4,0,0
0,Fabricación Nv 0 Fertilizante Hidratante,2,recipe-icon-94,94,1,"69,1", Receta de fertilizante humectante de nivel 0 ,"130,1,1,10000",3,0,99094,1,10,-,1,0,4,0,0
0,Fabricación Nv 3 Azada Bendita,2,recipe-icon-64,64,3,"217,2;209,2", Receta de azada bendita de nivel 3 ,"82,1,1,10000",1,0,97064,1,10,-,1,0,4,0,0
0,Fabricación Nv 0 Fertilizante Potenciador de Rendimiento,2,recipe-icon-93,93,1,"61,1", Receta de fertilizante que aumenta el rendimiento de nivel 0 ,"129,1,1,10000",3,0,99093,1,10,-,1,0,4,0,0
0,Fabricación Nv 2 Caldero Maldito,2,recipe-icon-67,67,2,"216,2;208,2", Receta de tetera maldita de nivel 2 ,"85,2,1,4000;84,1,1,6000",1,0,98067,1,10,-,1,0,4,0,0
0,Fabricación Nv 3 Hacha Bendita,2,recipe-icon-76,76,3,"211,1;214,1;218,2", Receta de hacha bendita de nivel 3 ,"94,1,1,10000",1,0,97076,1,10,-,3,0,4,0,0
0,Fabricación Nv 0 Poción de Curación Secundaria,2,recipe-icon-95,95,1,"66,5;32,5", Receta de poción curativa secundaria de nivel 0 ,"134,1,1,5031;135,1,1,993;136,1,1,993;137,1,1,993;139,1,1,993;138,1,1,993",3,0,99095,1,10,-,3,0,4,0,0
0,Fabricación Nv 1 Poción de Curación,2,recipe-icon-96,96,2,"67,2;75,2;35,2", Receta de poción curativa de nivel 1 ,"140,1,1,5031;142,1,1,993;141,1,1,993;143,1,1,993;145,1,1,993;144,1,1,993",3,0,98096,1,10,-,3,0,4,0,0
0,Fabricación Nv 2 Azada Maldita,2,recipe-icon-63,63,2,"216,2;208,2", Receta de azada maldita de nivel 2 ,"81,1,1,10000",1,0,98063,1,10,-,1,0,4,0,0
0,Fabricación Nv 2 Pico Maldito,2,recipe-icon-71,71,2,"210,1;213,1;217,2", Receta de pico maldito de nivel 2 ,"89,1,1,6000;89,2,1,4000",1,0,98071,1,10,-,3,0,4,0,0
0,Fabricación Nv 1 Pico de Hierro,2,recipe-icon-70,70,1,"216,2", Receta de pico de hierro de nivel 1 ,"88,1,1,10000",1,0,99070,1,10,-,3,0,4,0,0
0,Fabricación Nv 3 Pico Bendito,2,recipe-icon-72,72,3,"211,1;214,1;218,2", Receta de pico bendito de nivel 3 ,"90,1,1,10000",1,0,97072,1,10,-,3,0,4,0,0
0,Fabricación Nv 3 Caldero Bendito,2,recipe-icon-68,68,3,"217,2;209,2", Receta de tetera bendita de nivel 3 ,"86,1,1,10000",1,0,97068,1,10,-,1,0,4,0,0
0,Fabricación Nv 1 Hacha de Hierro,2,recipe-icon-74,74,1,"216,2", Receta de hacha de hierro de nivel 1 ,"92,1,1,10000",1,0,99074,1,10,-,3,0,4,0,0
0,Fabricación Nv 1 Caldero de Hierro,2,recipe-icon-66,66,1,"207,2", Receta de tetera de hierro de nivel 1 ,"84,1,1,10000",1,0,99066,1,10,-,1,0,4,0,0
0,Fabricación Nv 0 Fertilizante Acelerado,2,recipe-icon-92,92,1,"65,1", Receta de fertilizante acelerado de nivel 0 ,"128,1,1,10000",3,0,99092,1,10,-,1,0,4,0,0
0,Fabricación Nv 2 Hacha Maldita,2,recipe-icon-75,75,2,"210,1;213,1;217,2", Receta de hacha maldita de nivel 2 ,"93,1,1,6000;93,2,1,4000",1,0,98075,1,10,-,3,0,4,0,0
0,Fabricación Nv 0 Fertilizante Avanzado Hidratante,2,recipe-icon-101,101,2,"69,2;35,2", Receta de fertilizante humectante avanzado de nivel 0 ,"133,1,1,10000",3,0,98101,1,10,-,1,0,4,0,0
0,Fabricación Nv 0 Fertilizante Avanzado Potenciador de Rendimiento,2,recipe-icon-102,102,2,"61,2;35,2", Receta de fertilizante que aumenta el rendimiento avanzado de nivel 0 ,"132,1,1,10000",3,0,98102,1,10,-,1,0,4,0,0
0,Fabricación Nv 0 Fertilizante Avanzado Acelerado,2,recipe-icon-103,103,2,"65,2;35,2", Receta de fertilizante acelerado avanzado de nivel 0 ,"131,1,1,10000",3,0,98103,1,10,-,1,0,4,0,0
0,Fabricación Nv 0 Talismán,2,recipe-icon-104,104,1,"32,20;71,40;58,40;62,40;66,40", Receta de talismán de nivel 0 ,",1,1,4736;,2,1,3157;,3,1,2105",,0,99104,1,10,-,0,0,4,0,100
0,Fabricación Nv 0 Talismán,2,recipe-icon-106,106,1,"38,20;77,40;60,40;64,40;68,40", Receta de talismán de nivel 0 ,",2,1,4426;,3,1,2950;,4,1,1967;,5,1,655",,0,99106,1,10,-,0,0,4,0,200
0,Fabricación Nv 1 Sombrero Trébol de la Suerte,2,recipe-icon-108,108,1,"207,2", Receta de sombrero de trébol de la suerte de nivel 1 ,"98,1,1,9310;241,5,1,344;262,5,1,344",1,0,99108,1,10,-,1,0,4,0,0
0,Fabricación Nv 2 Sombrero de Algodón de la Suerte,2,recipe-icon-109,109,2,"216,2;208,2", Receta de sombrero de algodón de la suerte de nivel 1 ,"99,1,1,5744;99,2,1,3829;267,5,1,212;272,5,1,212",1,0,98109,1,10,-,1,0,4,0,0
0,Fabricación Nv 3 Casco Duro de la Suerte,2,recipe-icon-110,110,3,"217,2;209,2", Receta de sombrero duro de la suerte de nivel 3 ,"100,1,1,4576;100,2,1,3050;100,3,1,2033;246,5,1,169;251,5,1,169",1,0,97110,1,10,-,1,0,4,0,0
0,Fabricación Nv 1 Sombrero de Recolección,2,recipe-icon-111,111,1,"216,2", Receta de sombrero de recolección de nivel 1 ,"116,1,1,9310;241,5,1,344;262,5,1,344",1,0,99111,1,10,-,3,0,4,0,0
0,Fabricación Nv 2 Sombrero de Recolección,2,recipe-icon-112,112,2,"210,1;213,1;217,2", Receta de sombrero de recolección de nivel 2 ,"117,1,1,5744;117,2,1,3829;267,5,1,212;272,5,1,212",1,0,98112,1,10,-,3,0,4,0,0
0,Fabricación Nv 3 Sombrero de Recolección,2,recipe-icon-113,113,3,"211,1;214,1;218,2", Receta de sombrero de recolección de nivel 3 ,"118,1,1,4576;118,3,1,2033;118,2,1,3050;246,5,1,169;251,5,1,169",1,0,97113,1,10,-,3,0,4,0,0
0,Fabricación Nv 1 Semilla de Bambú,2,recipe-icon-123,123,1,"70,1", Receta de semillas de bambú de nivel 1 ,"146,1,1,8350;150,1,1,1649",3,0,99123,1,10,-,1,0,4,0,0
0,Fabricación Nv 1 Semilla de Trébol,2,recipe-icon-124,124,1,"71,1", Receta de semillas de trébol de nivel 1 ,"147,1,1,8350;149,1,1,1649",3,0,99124,1,10,-,1,0,4,0,0
0,Fabricación Nv 1 Semilla de Zanahoria,2,recipe-icon-125,125,1,"72,1", Receta de semillas de zanahoria de nivel 1 ,"148,1,1,8350;151,1,1,1649",3,0,99125,1,10,-,1,0,4,0,0
0,Fabricación Nv 2 Semilla de Planta Cántaro,2,recipe-icon-126,126,2,"73,1", Receta de semillas de planta de jarra de nivel 2 ,"149,1,1,8350;154,1,1,1649",3,0,98126,1,10,-,1,0,4,0,0
0,Fabricación Nv 2 Semilla de Algodón,2,recipe-icon-127,127,2,"74,1", Receta de semillas de algodón de nivel 2 ,"150,1,1,8350;152,1,1,1649",3,0,98127,1,10,-,1,0,4,0,0
0,Fabricación Nv 2 Semilla de Cactus,2,recipe-icon-128,128,2,"75,1", Receta de semillas de cactus de nivel 2 ,"151,1,1,8350;153,1,1,1649",3,0,98128,1,10,-,1,0,4,0,0
0,Fabricación Nv 3 Semilla de Pimientos Picantes,2,recipe-icon-129,129,3,"76,1", Receta de semillas de pimientos picantes de nivel 3 ,"152,1,1,8350;413,1,1,1649",3,0,97129,1,10,-,1,0,4,0,0
0,Fabricación Nv 3 Semilla de Fruta Dura,2,recipe-icon-130,130,3,"77,1", Receta de semillas de frutos duros de nivel 3 ,"153,1,1,8350;414,1,1,1649",3,0,97130,1,10,-,1,0,4,0,0
0,Fabricación Nv 3 Semilla de Champiñón Fantasma Azul,2,recipe-icon-131,131,3,"78,1", Receta de semillas de hongo fantasma azul de nivel 3 ,"154,1,1,8350;415,1,1,1649",3,0,97131,1,10,-,1,0,4,0,0
0,Fabricación Nv 2 Poción de Curación Cristalizada,2,recipe-icon-132,132,3,"68,2;78,2;38,2", Receta de poción curativa cristalizada de nivel 2 ,"191,1,1,5031;192,1,1,993;194,1,1,993;195,1,1,993;196,1,1,993;197,1,1,993",3,0,97132,1,10,-,3,0,4,0,0
0,Fabricación Nv 1 Anillo de Cabeza de Astilla,2,recipe-icon-133,133,1,"210,1;213,1", Receta de anillo de fragmentos de cristal de nivel 1 ,"43,1,1,9310;241,5,1,344;262,5,1,344",1,0,99133,1,10,-,2,0,4,0,0
0,Fabricación Nv 2 Gorra Suave de Piel de Cristal,2,recipe-icon-134,134,2,"207,2;211,1;214,1", Receta de gorra de piel de cristal suave de nivel 2 ,"44,1,1,5744;44,2,1,3829;267,5,1,212;272,5,1,212",1,0,98134,1,10,-,2,0,4,0,0
0,Fabricación Nv 3 Casco de Cristal,2,recipe-icon-135,135,3,"208,2;212,1;215,1", Receta de casco de cristal de nivel 3 ,"45,1,1,4576;45,2,1,3050;45,3,1,2033;246,5,1,169;251,5,1,169",1,0,97135,1,10,-,2,0,4,0,0
0,Fabricación Nv 2 Chaqueta de Piel de Cristal,2,recipe-icon-137,137,2,"207,2;211,1;214,1", Receta de chaqueta de piel de cristal de nivel 2 ,"47,1,1,5744;47,2,1,3829;268,5,1,212;273,5,1,212",1,0,98137,1,10,-,2,0,4,0,0
0,Fabricación Nv 1 Armadura de Vid de Cristal,2,recipe-icon-136,136,1,"210,1;213,1", Receta de armadura de cristal de vid rota de nivel 1 ,"46,1,1,9310;242,5,1,344;263,5,1,344",1,0,99136,1,10,-,2,0,4,0,0
0,Fabricación Nv 3 Armadura de Cristal,2,recipe-icon-138,138,3,"208,2;212,1;215,1", Receta de armadura de cristal de nivel 3 ,"48,1,1,4576;48,2,1,3050;48,3,1,2033;247,5,1,169;252,5,1,169",1,0,97138,1,10,-,2,0,4,0,0
0,Fabricación Nv 1 Falda de Hierba de Cristal Agrietada,2,recipe-icon-139,139,1,"210,1;213,1", Receta de falda de hierba de cristal rota de nivel 1 ,"49,1,1,9310;265,5,1,344;244,5,1,344",1,0,99139,1,10,-,2,0,4,0,0
0,Fabricación Nv 2 Pantalones de Piel de Cristal,2,recipe-icon-140,140,2,"207,2;211,1;214,1", Receta de pantalones de piel de cristal de nivel 2 ,"50,1,1,5744;50,2,1,3829;270,5,1,212;275,5,1,212",1,0,98140,1,10,-,2,0,4,0,0
0,Fabricación Nv 3 Armadura de Pierna de Cristal,2,recipe-icon-141,141,3,"208,2;212,1;215,1", Receta de armadura de pierna de cristal de nivel 3 ,"51,1,1,4576;51,2,1,3050;51,3,1,2033;249,5,1,169;254,5,1,169",1,0,97141,1,10,-,2,0,4,0,0
0,Fabricación Nv 1 Zapatos de Hierba de Cristal,2,recipe-icon-142,142,1,"210,1;213,1", Receta de zapatos de hierba de cristal rota de nivel 1 ,"55,1,1,9310;245,5,1,344;266,5,1,344",1,0,99142,1,10,-,2,0,4,0,0
0,Fabricación Nv 2 Botas de Piel de Cristal,2,recipe-icon-143,143,2,"207,2;211,1;214,1", Receta de botas de piel de cristal de nivel 2 ,"56,1,1,5744;56,2,1,3829;271,5,1,212;276,5,1,212",1,0,98143,1,10,-,2,0,4,0,0
0,Fabricación Nv 3 Zapatos de Piedra de Cristal,2,recipe-icon-144,144,3,"208,2;212,1;215,1", Receta de zapatos de piedra de cristal de nivel 3 ,"57,1,1,4576;57,2,1,3050;57,3,1,2033;250,5,1,169;255,5,1,169",1,0,97144,1,10,-,2,0,4,0,0
0,Fabricación Nv 1 Brazalete de Cristal,2,recipe-icon-145,145,1,"210,1;213,1", Receta de pulsera de fragmentos de cristal de nivel 1 ,"52,1,1,9310;243,5,1,344;264,5,1,344",1,0,99145,1,10,-,2,0,4,0,0
0,Fabricación Nv 2 Guantes de Piel de Cristal,2,recipe-icon-146,146,2,"207,2;211,1;214,1", Receta de guantes de piel de cristal de nivel 2 ,"53,1,1,5744;53,2,1,3829;274,5,1,212;269,5,1,212",1,0,98146,1,10,-,2,0,4,0,0
0,Fabricación Nv 3 Guanteletes de Cristal,2,recipe-icon-147,147,3,"208,2;212,1;215,1", Receta de guanteletes de cristal de nivel 3 ,"54,1,1,4655;54,2,1,3103;54,3,1,2068;253,5,1,172",1,0,97147,1,10,-,2,0,4,0,0
0,Fabricación Nv 1 Esencia de Combate,2,recipe-icon-149,149,1,"30,5;31,5;32,5", Receta de esencia de combate de nivel 1 ,"216,1,1,10000",4,0,99149,1,10,-,2,0,4,0,0
0,Fabricación Nv 2 Esencia de Combate,2,recipe-icon-150,150,2,"33,5;35,5;34,5;216,2", Receta de esencia de combate de nivel 2 ,"217,1,1,10000",4,0,98150,1,10,-,2,0,4,0,0
0,Fabricación Nv 3 Esencia de Combate,2,recipe-icon-151,151,3,"36,5;37,5;38,5;217,2", Receta de esencia de combate de nivel 3 ,"218,1,1,10000",4,0,97151,1,10,-,2,0,4,0,0
