areaSort-int,deathDrop-int[],deathEXPDrop-int,deathTaxation-int[],desc-string,id-int,lockBackpack-bool,name-string,type-int
0,"0,0,0",2,"0,0,0",Tidak Ada Hukuman Mati,1,0,Kota,1
0,"0,0,0",2,"0,0,0",Tidak Ada Hukuman Mati,2,0,Kota Sekitar,1
0,"100,20,10",3,"100,10,5",Hukuman Mati Ringan,3,0,Gunung Salju,2
0,"100,20,10",3,"100,10,5",Hukuman Mati Ringan,4,0,Area Pertarungan PvEP,2
0,"0,0,0",2,"0,0,0",Tidak Ada Hukuman Mati,5,0,Rumah,1
0,"0,0,0",2,"0,0,0",Tidak Ada Hukuman Mati,6,0,Pantai,1
0,"0,0,0",2,"0,0,0",Hukuman Mati Ringan,7,0,Hutan Merah,1
0,"100,20,10",3,"100,10,5",Hukuman Mati Ringan,8,0,Hutan Hitam,2
0,"0,0,0",2,"0,0,0",Tidak Ada Hukuman Mati,9,0,Padang Pasir Berbadai,1
0,"0,0,0",2,"0,0,0",Tidak Ada Hukuman Mati,10,0,Kanyon,1
0,"100,20,10",3,"100,10,5",Hukuman Mati Ringan,11,0,Patung Ikan Pahlawan,2
0,"100,20,15",5,"100,10,5",Hukuman Mati Sedang,12,1,Kuburan,3
0,"100,20,10",3,"100,10,5",Hukuman Mati Ringan,13,0,Istirahat Jiwa,2
0,"100,20,10",3,"100,10,5",Hukuman Mati Ringan,14,0,Gunung Danau Surgawi,2
0,"0,0,0",2,"0,0,0",Tidak Ada Hukuman Mati,15,0,Altar Pusat,1
0,"100,20,10",3,"100,10,5",Hukuman Mati Ringan,16,0,Altar Sekitar,2
0,"100,20,10",3,"100,10,5",Hukuman Mati Ringan,17,0,Tanah Es,2
0,"100,20,15",5,"100,10,5",Hukuman Mati Sedang,18,1,Kedalaman Tanah Es,3
0,"0,0,0",2,"0,0,0",Tidak Ada Hukuman Mati,19,0,Hutan Belantara,1
1,"100,20,25",7,"100,10,5",Hukuman Mati Berat,20,1,Arena Pemula 1/3,3
2,"100,20,25",7,"100,10,5",Hukuman Mati Berat,21,1,Arena Pemula 2/3,3
3,"100,20,25",7,"100,10,5",Hukuman Mati Berat,22,1,Arena Pemula 3/3,3
1,"100,20,25",7,"100,10,5",Hukuman Mati Berat,23,1,Arena Menengah 1/3,3
2,"100,20,25",7,"100,10,5",Hukuman Mati Berat,24,1,Arena Menengah 2/3,3
3,"100,20,25",7,"100,10,5",Hukuman Mati Berat,25,1,Arena Menengah 3/3,3
1,"100,20,25",7,"100,10,5",Hukuman Mati Berat,26,1, Arena Lanjutan 1/3,3
2,"100,20,25",7,"100,10,5",Hukuman Mati Berat,27,1, Arena Lanjutan 2/3,3
3,"100,20,25",7,"100,10,5",Hukuman Mati Berat,28,1, Arena Lanjutan 3/3,3
0,"0,0,0",2,"0,0,0",Tidak Ada Hukuman Mati,29,0, Kemah Pencocokan,1
0,"0,0,0",2,"0,0,0",Tidak Ada Hukuman Mati,30,0,Altar Respawning,1
0,"100,20,10",3,"100,10,5",Hukuman Mati Ringan,31,0,Tantangan,2
0,"100,20,10",3,"100,10,5",Hukuman Mati Ringan,32,0,Domain Kuno - Gunung Berapi,2
0,"100,20,10",3,"100,10,5",Hukuman Mati Ringan,33,0,Domain Kuno - Lubang,2
0,"100,20,10",3,"100,10,5",Hukuman Mati Ringan,34,0,Domain Kuno - Peninggalan,2
0,"100,20,10",3,"100,10,5",Hukuman Mati Ringan,35,0,Liar,2
0,"0,0,0",2,"0,0,0",Tidak Ada Hukuman Mati,36,0,Jembatan,1
0,"100,20,15",5,"100,10,5",Hukuman Mati Sedang,37,1,Koloseum,3
