boothFees-int[][],canDropScene-int[],canMint-int,desc-string,givenSkillId-int,icon-string,id-int,name-string,onChainDelay-int,quality-int[],resourceInstructions-int[],sellable-bool,subType-int,talentId-int[],tokenTaskLevel-int[],tokenTaskRefreshType-int,type-int,useLv-int,userType-int
"792,1","1,3,4",1,"Someone once saw this material by the seaside.
It can be used to craft equipment or items.
-------
This green slime is a rare raw material that can be used to make various combat equipment. It has extremely strong adhesion and can bond with a variety of materials.",0,item-icon-30,30, Зеленая слизь,0,1,6,1,0,2,"1,0",1,4,1,1
"792,1","1,3,4",1,"Someone once saw this material by the seaside.
It can be used to craft equipment or items.
-------
Pumpkin vines are a raw material that can be used to make weapons and armor. They have a tough texture and excellent toughness, providing reliable protection and attack power in combat.",0,item-icon-31,31, Тыквенные лозы,0,1,5,1,0,2,"1,0",1,4,1,1
"792,1","1,3,4",1,"Someone once saw this material by the seaside.
It can be used to craft equipment or items.
-------
This type of wire mesh is a raw material used for combat, which can be used to manufacture defensive structures or equipment with high strength and durability.",0,item-icon-32,32, Проволочная сетка,0,1,4,1,0,2,"1,0",1,4,1,1
"793,1","1,3,4",1,"Someone once saw this material in the desert.
It can be used to craft equipment or items.
-------
Cat Fangs from the mines are a sharp raw material that can be used to make weapons and armor. They come from feline animals that live in the mines and possess strong combat abilities and agility.",0,item-icon-33,33, Острые клыки горного кота,0,1,7,1,0,2,2,1,4,2,1
"793,1","1,3,4",1,"Someone once saw this material on the grasslands.
It can be used to craft equipment or items.
-------
This lightweight film is a raw material used for combat and can be used to manufacture various defensive equipment and weapons.",0,item-icon-34,34, Легкая тонкая пленка,0,1,8,1,0,2,2,1,4,2,1
"793,1","1,3,4",1,"Someone once saw this material in the canyon.
It can be used to craft equipment or items.
-------
The Grass Demon Crown is a second-level combat material made from the head of Grass Demons and possesses powerful combat abilities.",0,item-icon-35,35, Корона травяного демона,0,1,9,1,0,2,2,1,4,2,1
"794,1","1,3,4",1,"Someone once saw this material in the Black Forest.
It can be used to craft equipment or items.
-------
This hook claw is made of hard metal, very sharp, suitable for use in battle. Its shape is slender, and it can easily penetrate the enemy's defense.",0,item-icon-36,36, Тонкий крюк-коготь,0,1,10,1,0,2,3,1,4,3,1
"794,1","1,3,4",1,"Someone once saw this material in the Red Forest.
It can be used to craft equipment or items.
-------
Red fur is a high-end fur with excellent defensive performance, suitable for making combat equipment. It is a rare raw material with high collection difficulty.",0,item-icon-37,37, Малиновая шерсть,0,1,11,1,0,2,3,1,4,3,1
"794,1","1,3,4",1,"Someone once saw this material on the Snow Mountain.
It can be used to craft equipment or items.
-------
This is a rare raw material that can be obtained in battles. It has an appearance like ice and snow, with a furry texture that makes people want to touch it.",0,item-icon-38,38, Снежный пух,0,1,12,1,0,2,3,1,4,3,1
"792,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
A sharp and sturdy weapon crafted from solid stone, perfect for close combat. Its weight and balance make it easy to wield, delivering powerful strikes with precision.",0,item-icon-40,40, Каменный меч,1,1,264,1,0,2,999,0,1,1,1
"793,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
A sharp and sturdy weapon forged from iron, capable of slicing through enemies with ease. Its weight provides a satisfying heft, allowing for powerful strikes that leave opponents reeling.",0,item-icon-41,41, Железный меч,1440,"1,2",271,1,0,2,999,0,1,2,1
"794,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
A powerful weapon forged from pure crystal, capable of slicing through enemies with ease. Its shimmering blade reflects light, dazzling opponents and striking fear into their hearts. With each swing, the Crystal Sword unleashes a deadly combination of speed and precision.",0,item-icon-42,42, Кристальный меч,1440,"1,2,3",280,1,0,2,999,0,1,3,1
"792,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
A sturdy wooden weapon crafted for swift and precise strikes, perfect for beginners honing their combat skills. Its lightweight design allows for agile movements, making it an ideal choice for those seeking a versatile and reliable weapon.",0,item-icon-39,39, Деревянный меч,1440,1,256,0,0,2,999,0,1,0,1
"792,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
A stylish accessory that adds a touch of elegance to any outfit. Crafted with intricate details, this ring exudes sophistication and charm. Its unique design is sure to catch the eye of fellow fashion enthusiasts.",0,item-icon-43,43, Кольцо с чипом на голове,1440,1,257,1,0,2,999,0,1,1,1
"793,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
This hat is made of a unique material that feels incredibly soft against your skin. It provides a luxurious and comfortable fit, making it perfect for long gaming sessions.",0,item-icon-44,44, Мягкая шапка из кристальной кожи,1440,"1,2",269,1,0,2,999,0,1,2,1
"794,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
A sturdy helmet crafted from shimmering crystals, providing exceptional protection without compromising agility. Its enchanting glow grants the wearer enhanced vision in dark dungeons.",0,item-icon-45,45, Шлем из кристаллического камня,1440,"1,2,3",278,1,0,2,999,0,1,3,1
"792,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
This armor, with its cracked crystal design, exudes an aura of resilience and power. Its shimmering surface reflects the light, captivating all who lay eyes upon it. A symbol of strength and endurance, it is a must-have for any seasoned warrior.",0,item-icon-46,46, Разбитая кристальная броня,1440,1,259,1,0,2,999,0,1,1,1
"793,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
This armor is crafted with a unique crystal-like material, providing exceptional protection without sacrificing mobility. Its sleek design and shimmering surface make it a true masterpiece of craftsmanship. With the Crystal Skin Armor, you'll feel invincible on the battlefield.",0,item-icon-47,47, Кожаная кристальная броня,1440,"1,2",265,1,0,2,999,0,1,2,1
"794,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
A formidable armor forged from enchanted crystals, providing unparalleled protection against both physical and magical attacks. Its shimmering surface reflects light, dazzling enemies and instilling fear in their hearts. Wearing this armor grants the wearer an aura of invincibility, making them an unstoppable force on the battlefield.",0,item-icon-48,48, Каменная кристальная броня,1440,"1,2,3",276,1,0,2,999,0,1,3,1
"792,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
A unique piece of clothing made from delicate crystals, this grass skirt adds a touch of elegance to any outfit. Its cracked texture gives it a mysterious and enchanting allure, making it a must-have for fashion-forward adventurers.",0,item-icon-49,49, Разбитая травяная юбка из кристалла,1440,1,262,1,0,2,999,0,1,1,1
"793,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
These pants have a unique crystal-like texture, giving them a sleek and futuristic appearance. The smooth fabric feels cool against the skin, providing maximum comfort during intense battles. With their eye-catching design, these pants are sure to make you stand out on the battlefield.",0,item-icon-50,50, Кожаные кристальные штаны,1440,"1,2",268,1,0,2,999,0,1,2,1
